SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
SLPR;PUR;PUERTO RICO AIRPORT;PUERTO RICO;;BOLÍVIA;N/I;-11,107167;-67,547167
SLPS;PSZ;PUERTO SUÁREZ INTERNATIONAL AIRPORT;PUERTO SUÁREZ;;BOLÍVIA;N/I;-18,975278;-57,820556
SLRA;SRD;SAN RAMON AIRPORT;SAN RAMON;;BOLÍVIA;N/I;-13,264028;-64,604028
SLRB;RBO;ROBORE AIRPORT;ROBORE;;BOLÍVIA;N/I;-18,327583;-59,765639
SLRI;RIB;RIBERALTA AIRPORT;RIBERALTA;;BOLÍVIA;N/I;-11,016667;-66,116667
SLRQ;RBQ;RURRENABAQUE AIRPORT;RURRENABAQUE;;BOLÍVIA;N/I;-14,4275;-67,498056
SLRY;REY;REYES AIRPORT;REYES;;BOLÍVIA;N/I;-14,305611;-67,353444
SLSA;SBL;SANTA ANA DEL YACUMA AIRPORT;SANTA ANA DEL YACUMA;;BOLÍVIA;N/I;-13,762222;-65,435278
SLSB;SRJ;CAPITÁN GERMÁN QUIROGA GUARDIA AIRPORT;SAN BORJA;;BOLÍVIA;N/I;-14,866667;-66,75
SLSI;SNG;CAPITÁN AV. JUAN COCHAMANIDIS AIRPORT;SAN IGNACIO DE VELASCO;;BOLÍVIA;N/I;-16,38361;-60,96278
SLSM;SNM;SAN IGNACIO DE MOXOS AIRPORT;SAN IGNACIO DE MOXOS;;BOLÍVIA;N/I;-13,993528;-65,643444
SLSR;SRB;SANTA ROSA AIRPORT;SANTA ROSA;;BOLÍVIA;N/I;-14,072777;-66,787221
SLTI;MQK;SAN MATÍAS AIRPORT;SAN MATÍAS;;BOLÍVIA;N/I;-16,334435;-58,385554
SLTJ;TJA;CAPITÁN ORIEL LEA PLAZA AIRPORT;TARIJA;;BOLÍVIA;N/I;-21,555833;-64,701389
SLTR;TDD;TENIENTE JORGE HENRICH ARAUZ AIRPORT;TRINIDAD;;BOLÍVIA;N/I;-14,818611;-64,918056
SLUY;UYU;UYUNI AIRPORT;UYUNI;;BOLÍVIA;N/I;-20,443056;-66,854167
SLVG;VAH;CAP. AV. VIDAL VILLAGOMEZ TOLEDO AIRPORT;VALLEGRANDE;;BOLÍVIA;N/I;-18,479167;-64,099444
SLVM;VLM;VILLAMONTES AIRPORT;VILLAMONTES;;BOLÍVIA;N/I;-21,255;-63,405556
SLVR;VVI;VIRU VIRU INTERNATIONAL AIRPORT;SANTA CRUZ;;BOLÍVIA;N/I;-17,644722;-63,135278
SLYA;BYC;YACUIBA AIRPORT;YACUIBA;;BOLÍVIA;N/I;-21,960833;-63,651667
SMBN;ABN;ALBINA AIRSTRIP;ALBINA, MAROWIJNE DISTRICT;;SURINAME;N/I;5,51389;-54,05
SMJP;PBM;JOHAN ADOLF PENGEL INTERNATIONAL AIRPORT (ZANDERIJ INT´L);ZANDERIJ;;SURINAME;N/I;5,452778;-55,187778
SMZO;ORG;ZORG EN HOOP AIRPORT;PARAMARIBO;;SURINAME;N/I;5,81111;-55,19083
SN6L;JSO;VIRGÍLIO TÁVORA;SOBRAL;CE;BRASIL;1A;-3,678888888;-40,33666666
SNAB;JAW;ARARIPINA;ARARIPINA;PE;BRASIL;-;-7,586388888;-40,53527777
SNAL;APQ;ARAPIRACA;ARAPIRACA;AL;BRASIL;-;-9,776388888;-36,63055555
SNAR;AMJ;CIRILO QUEIRÓZ;ALMENARA;MG;BRASIL;-;-16,18388888;-40,66722222
SNAX;AIF;MARCELO PIRES HALZHAUSEN;ASSIS;SP;BRASIL;-;-22,64;-50,45305555
SNBA;BAT;CHAFEI AMSEI (SBBT*);BARRETOS;SP;BRASIL;-;-20,58555555;-48,59583333
SNBC;BDC;BARRA DO CORDA;BARRA DO CORDA;MA;BRASIL;-;-5,5025;-45,21611111
SNBL;BVM;BELMONTE;BELMONTE;BA;BRASIL;N/I;-15,871388889;-38,8725
SNBR;BRA;BARREIRAS;BARREIRAS;BA;BRASIL;3C;-12,07916666;-45,00944444
SNBS;BSS;BALSAS;BALSAS;MA;BRASIL;-;-7,525277777;-46,05333333
SNBX;BQQ;BARRA;BARRA;BA;BRASIL;-;-11,08111111;-43,1475
SNCL;MXQ;LORENZO;CAIRU;BA;BRASIL;-;-13,38944444;-38,91
SNCP;EEA;AEROPORTO REGIONAL DO PLANALTO SERRANO;CORREIA PINTO;SC;BRASIL;-;-27,63416666;-50,35833333
SNCT;WQC;CARATINGA;UBAPORANGA;MG;BRASIL;-;-19,72527777;-42,11111111
SNDC;RDC;REDENÇÃO;REDENÇÃO;PA;BRASIL;-;-8,031111111;-49,97972222
SNDT;DTI;DIAMANTINA;DIAMANTINA;MG;BRASIL;-;-18,23222222;-43,65027777
SNDV;DIQ;BRIGADEIRO CABRAL;DIVINÓPOLIS;MG;BRASIL;3C;-20,18194444;-44,87
SNEB;JPE;AERODROMO DE PARAGOMINAS;PARAGOMINAS;PA;BRASIL;-;-3,019722222;-47,31638888
SNED;CNV;SÓCRATES REZENDE;CANAVIEIRAS;BA;BRASIL;-;-15,66638888;-38,95527777
SNEE;VCC;VACARIA NOVO;VACARIA;RS;BRASIL;-;-28,43194444;-51,02277777
SNFX;SXX;SÃO FÉLIX DO XINGU;SÃO FÉLIX DO XINGU;PA;BRASIL;-;-6,640277777;-51,99
SNGA;GUZ;GUARAPARI;GUARAPARI;ES;BRASIL;-;-20,64638888;-40,49166666
SNGD;GDP;GUADALUPE;GUADALUPE;PI;BRASIL;-;-6,783055555;-43,58083333
SNGI;GNM;GUANAMBI;GUANAMBI;BA;BRASIL;2C;-14,20805555;-42,74611111
SNGN;QGP;GARANHUNS;GARANHUNS;PE;BRASIL;-;-8,834444444;-36,47138888
SNGV;289;GOVERNADOR VALADARES;GOVERNADOR VALADARES;MT;BRASIL;-;4,9869444444;10,773888888
SNGX;WQG;GUAXUPÉ;GUAXUPÉ;MG;BRASIL;-;-21,32666666;-46,73027777
SNHS;SET;SANTA MAGALHÃES;SERRA TALHADA;PE;BRASIL;-;-8,061388888;-38,32861111
SNIC;IRE;IRECÊ;IRECÊ;BA;BRASIL;-;-11,34;-41,84694444
SNIG;QIG;IGUATU;IGUATU;CE;BRASIL;-;-6,346666666;-39,29444444
SNIU;IPU;IPIAÚ;IPIAÚ;BA;BRASIL;-;-14,17333333;-39,68416666
SNJB;JCM;JACOBINA;JACOBINA;BA;BRASIL;-;-11,16305555;-40,55333333
SNJK;JEQ;JEQUIÉ;JEQUIÉ;BA;BRASIL;-;-13,87777777;-40,07138888
SNJM;JMA;AEROPORTO ELIAS BREDER;MANHUAÇU;MG;BRASIL;-;-20,25972222;-42,18388888
SNJN;JNA;JANUÁRIA;JANUÁRIA;MG;BRASIL;-;-15,47472222;-44,38638888
SNJR;JDR;SÃO JOÃO DEL REI;SÃO JOÃO DEL REI;MG;BRASIL;2C;-21,08555555;-44,22527777
SNKE;CMP;SANTANA DO ARAGUAIA;SANTANA DO ARAGUAIA;MG;BRASIL;-;3,9963888888;17,007222222
SNKF;QDF;DAS BANDEIRINHAS;CONSELHEIRO LAFAIETE;MG;BRASIL;-;-20,73861111;-43,79805555
SNKI;CDI;CACHOEIRO DE ITAPEMIRIM;CACHOEIRO DE ITAPEMIRIM;ES;BRASIL;-;-20,83527777;-41,18638888
SNLN;LHN;AERÓDROMO MUNICIPAL DE LINHARES;LINHARES;ES;BRASIL;-;-19,35527777;-40,06944444
SNLO;SSO;SÃO LOURENÇO;SÃO LOURENÇO;MG;BRASIL;-;-22,09166666;-45,04527777
SNMA;MTE;MONTE ALEGRE;MONTE ALEGRE;PA;BRASIL;-;-1,996666666;-54,07138888
SNMK;WQJ;MOCAMBINHO;JAÍBA;MG;BRASIL;-;-15,09305555;-43,97916666
SNMX;SBJ;SÃO MATEUS;SÃO MATEUS;ES;BRASIL;-;-18,72138888;-39,83361111
SNMZ;PTQ;PORTO DE MOZ;PORTO DE MOZ;PA;BRASIL;-;-1,741388888;-52,23583333
SNNU;NNU;NANUQUE;NANUQUE;MG;BRASIL;-;-17,82305555;-40,32972222
SNOS;PSW;MUNICIPAL JOSÉ FIGUEIREDO;PASSOS;MG;BRASIL;-;-20,73333333;-46,65972222
SNOU;FEJ;NOVO AERÓDROMO DE FEIJÓ;FEIJÓ;AC;BRASIL;-;6,9977777777;7,2922222222
SNOX;ORX;ORIXIMINÁ;ORIXIMINÁ;PA;BRASIL;-;-1,713611111;-55,83583333
SNPC;PCS;PICOS;PICOS;PI;BRASIL;-;-7,065277777;-41,51944444
SNPD;POJ;PATOS DE MINAS;PATOS DE MINAS;MG;BRASIL;3C;-18,67222222;-46,49138888
SNPJ;WQT;PATROCÍNIO;PATROCÍNIO;MG;BRASIL;-;-18,90916666;-46,98277777
SNPU;sn*;PARAGUAÇU;PARAGUAÇU;MG;BRASIL;-;-21,56138888;-45,75472222
SNPX;PIV;PIRAPORA;PIRAPORA;MG;BRASIL;-;-17,31694444;-44,86027777
SNQG;FLB;CANGAPARA;FLORIANO;PI;BRASIL;-;-6,845833333;-43,0775
SNQU;CHD;MUCUGÊ;MUCUGÊ;BA;BRASIL;1A;-13,03166666;-41,44444444
SNQX;QXD;QUIXADÁ;QUIXADÁ;CE;BRASIL;1A;-4,978888888;-38,98777777
SNRD;PDF;PRADO;PRADO;BA;BRASIL;-;-17,29694444;-39,27194444
SNRJ;JRT;BREJO;BREJO;PA;BRASIL;-;4,9994444444;0,5483333333
SNRU;CAU;OSCAR LARANJEIRAS;CARUARU;PE;BRASIL;-;-8,284444444;-36,01083333
SNSM;OPP;SALINÓPOLIS;SALINÓPOLIS;PA;BRASIL;-;-0,696944444;-47,33777777
SNSS;IAL;SALINAS;SALINAS;MG;BRASIL;-;-16,20833333;-42,32194444
SNSW;SFK;SOURE;SOURE;PA;BRASIL;-;3,9747222222;-1,622777777
SNTF;TXF;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA;BRASIL;3C;-17,52444444;-39,66833333
SNTI;OBI;ÓBIDOS;ÓBIDOS;PA;BRASIL;-;-1,868055555;-55,51444444
SNTO;TFL;JUSCELINO KUBITSCHECK;TEÓFILO OTONI;MG;BRASIL;-;-17,89083333;-41,515
SNTS;JPO;PEREGRINO FILHO;PATOS;PB;BRASIL;-;-7,037777777;-37,2575
SNUH;WQP;SEBASTIÃO GOMES DE SOUZA;PIUMHI;MG;BRASIL;-;-20,43888888;-45,99222222
SNUI;WQA;ARAÇUAÍ;ARAÇUAÍ;MG;BRASIL;-;-16,85194444;-42,04611111
SNVB;VAL;VALENÇA;VALENÇA;BA;BRASIL;4C;-13,29638888;-38,9925
SNVC;WQV;VIÇOSA;VIÇOSA;MG;BRASIL;-;-20,74472222;-42,84194444
SNVS;BVS;BREVES;BREVES;PA;BRASIL;-;-1,636388888;-50,44333333
SNWC;CMC;CAMOCIM;CAMOCIM;CE;BRASIL;-;-2,895833333;-40,85888888
SNWS;JCS;DOUTOR LÚCIO LIMA;CRATEÚS;CE;BRASIL;-;-5,211111111;-40,70416666
SNYA;GGF;ALMEIRIM;ALMEIRIM;PA;BRASIL;-;-1,479166666;-52,57805555
SNYE;PHI;PINHEIRO;PINHEIRO;MA;BRASIL;-;-2,4775;-45,105
SNZA;PPY;POUSO ALEGRE;POUSO ALEGRE;MG;BRASIL;-;-22,28888888;-45,91944444
SNZR;PYT;PARACATU;PARACATU;MG;BRASIL;-;-17,24305555;-46,88138888
SNZW;ITE;ITUBERÁ;ITUBERÁ;BA;BRASIL;-;2,9986111111;11,765
SOCA;CAY;CAYENNE-ROCHAMBEAU AIRPORT;CAYENNE;;GUIANA FRANCESA;N/I;4,819722;-52,361944
SPAR;ALD;ALERTA AIRPORT;ALERTA, UCAYALI REGION;;PERU;N/I;-11,683333;-69,333333
SPBR;IBP;IBERIA AIRPORT;IBERIA;;PERU;N/I;-11,411667;-69,488889
SPCL;PCL;CAPITÁN ROLDEN AIRPORT (OR CAPITÁN FAP DAVID ABENZUR RENGIFO AIRPORT);PUCALLPA, UCAYALI REGION;;PERU;N/I;-8,377778;-74,574167
SPEO;CHM;TENIENTE FAP JAIME A. DE MONTREUIL MORALES AIRPORT;CHIMBOTE, ANCASH REGION;;PERU;N/I;-9,149722;-78,523889
SPGM;TGI;TINGO MARÍA AIRPORT;TINGO MARÍA, HUÁNUCO REGION;;PERU;N/I;-9,286944;-76,004722
SPHI;CIX;CAPITÁN FAP JOSÉ A. QUIÑONES GONZALES AIRPORT;CHICLAYO, LAMBAYEQUE REGION;;PERU;N/I;-6,787222;-79,828056
SPHO;AYP;CORONEL FAP ALFREDO MENDÍVIL DUARTE AIRPORT;AYACUCHO, AYACUCHO REGION;;PERU;N/I;-13,154722;-74,204167
SPHY;ANS;ANDAHUAYLAS AIRPORT;ANDAHUAYLAS, APURÍMAC REGION;;PERU;N/I;-13,712778;-73,352778
SPHZ;ATA;COMANDANTE FAP GERMÁN ARIAS GRAZIANI AIRPORT;ANTA/HUARAZ, ANCASH REGION;;PERU;N/I;-9,347222;-77,598333
SPIP;SF$;SATIPO AIRPORT;SATIPO;;PERU;1A;0;0
SPJA;RIJ;JUAN SIMONS VELA AIRPORT;RIOJA, SAN MARTÍN REGION;;PERU;N/I;-6,068056;-77,16
SPJC;LIM;JORGE CHÁVEZ INTERNATIONAL AIRPORT;CALLAO/LIMA, LIMA METROPOLITAN AREA;;PERU;N/I;-12,021944;-77,114444
SPJI;JJI;JUANJUÍ AIRPORT;JUANJUÍ, SAN MARTÍN REGION;;PERU;N/I;-7,169722;-76,729167
SPJJ;JAU;FRANCISCO CARLE AIRPORT;JAUJA, JUNÍN REGION;;PERU;N/I;-11,783056;-75,473333
SPJL;JUL;INCA MANCO CÁPAC INTERNATIONAL AIRPORT;PUNO/JULIACA, PUNO REGION;;PERU;N/I;-15,466944;-70,158056
SPJN;SJA;SAN JUAN DE MARCONA AIRPORT;SAN JUAN DE MARCONA;;PERU;N/I;-15,3525;-75,13722
SPJR;CJA;MAJOR GENERAL FAP ARMANDO REVOREDO IGLESIAS AIRPORT;CAJAMARCA, CAJAMARCA REGION;;PERU;N/I;-7,139167;-78,489167
SPLO;ILQ;ILO AIRPORT;ILO, MOQUEGUA REGION;;PERU;N/I;-17,695;-71,343889
SPME;TBP;CAPITÁN FAP PEDRO CANGA RODRÍGUEZ AIRPORT;TUMBES, TUMBES REGION;;PERU;N/I;-3,5525;-80,381111
SPMS;YMS;MOISÉS BENZAQUEN RENGIFO AIRPORT;YURIMAGUAS, LORETO REGION;;PERU;N/I;-5,893611;-76,118056
SPNC;HUU;ALFÉREZ FAP DAVID FIGUEROA FERNANDINI AIRPORT;HUÁNUCO, HUÁNUCO REGION;;PERU;N/I;-9,878811;-76,204797
SPPY;CHH;CHACHAPOYAS AIRPORT;CHACHAPOYAS, AMAZONAS REGION;;PERU;N/I;-6,201806;-77,856064
SPQT;IQT;CORONEL FAP FRANCISCO SECADA VIGNETTA AIRPORT;IQUITOS, LORETO REGION;;PERU;N/I;-3,784722;-73,308611
SPQU;AQP;RODRÍGUEZ BALLÓN INTERNATIONAL AIRPORT;AREQUIPA, AREQUIPA REGION;;PERU;N/I;-16,341072;-71,583083
SPRU;TRU;CAPITÁN FAP CARLOS MARTÍNEZ DE PINILLOS AIRPORT;TRUJILLO, LA LIBERTAD REGION;;PERU;N/I;-8,081389;-79,108611
SPSO;PIO;CAPITÁN FAP RENÁN ELÍAS OLIVERA AIRPORT;PISCO, ICA REGION;;PERU;N/I;-13,745;-76,220278
SPST;TPP;COMANDANTE FAP GUILLERMO DEL CASTILLO PAREDES AIRPORT;TARAPOTO, SAN MARTÍN REGION;;PERU;N/I;-6,508742;-76,373247
SPTN;TCQ;CORONEL FAP CARLOS CIRIANI SANTA ROSA AIRPORT;TACNA, TACNA REGION;;PERU;N/I;-18,053333;-70,275833
SPTU;PEM;PADRE JOSÉ DE ALDAMIZ INTERNATIONAL AIRPORT;PUERTO MALDONADO, MADRE DE DIOS REGION;;PERU;N/I;-12,613611;-69,228611
SPUR;PIU;CAPITÁN FAP GUILLERMO CONCHA IBERICO AIRPORT;PIURA/TALARA, PIURA REGION;;PERU;N/I;-5,2;-80,616667
SPYL;TYL;CAPITÁN FAP VICTOR MONTES ARIAS;TALARA, PIURA REGION;;PERU;N/I;-4,576389;-81,253889
SPZA;NZC;MARIA REICHE NEUMAN AIRPORT;NAZCA, ICA REGION;;PERU;N/I;-14,854167;-74,961111
SPZO;CUZ;SUBTENIENTE FAP ALEJANDRO VELASCO ASTETE INTERNATIONAL AIRPORT;CUSCO, CUSCO REGION;;PERU;N/I;-13,535556;-71,943611
SSAK;CZB;CARLOS RUHL;CRUZ ALTA;RS;BRASIL;-;-28,65861111;-53,61138888
SSAP;APU;CAPITÃO JOÃO BUSSE;APUCARANA;PR;BRASIL;-;-23,61222222;-51,385
SSBL;BNU;BLUMENAU;BLUMENAU;SC;BRASIL;-;-26,83277777;-49,09361111
SSBZ;BZC;UMBERTO MODIANO;ARMAÇÃO DOS BÚZIOS;RJ;BRASIL;-;3,9741666666;20,713611111
SSCK;CCI;OLAVO CECCO RIGON;CONCÓRDIA;SC;BRASIL;-;-27,18055555;-52,05111111
SSCL;CSS;CASSILÂNDIA;CASSILÂNDIA;MS;BRASIL;-;-19,14694444;-51,67638888
SSCN;CEL;CANELA;CANELA;RS;BRASIL;-;-29,37055555;-50,83222222
SSCP;CKO;FRANCISCO LACERDA JÚNIOR;CORNÉLIO PROCÓPIO;PR;BRASIL;-;-23,1525;-50,6025
SSCT;GGH;GASTÃO DE MESQUITA FILHO;CIANORTE;PR;BRASIL;-;-23,69166666;-52,64222222
SSER;ERM;ERECHIM;ERECHIM;RS;BRASIL;-;-27,66;-52,27611111
SSFB;FBE;PAULO ABDALA;FRANCISCO BELTRÃO;PR;BRASIL;-;-26,05888888;-53,06333333
SSFW;ZZM;FAZENDA PROGRESSO;MUCUGÊ;BA;BRASIL;-;3,98;12,743888888
SSGG;GPB;TANCREDO THOMAS DE FARIA;GUARAPUAVA;PR;BRASIL;2C;-25,38833333;-51,52361111
SSGY;GGJ;GUAÍRA;GUAÍRA;PR;BRASIL;-;-24,07972222;-54,18805555
SSHZ;HRZ;WALTER BÜNDCHEN;HORIZONTINA;RS;BRASIL;-;-27,63833333;-54,33888888
SSIJ;IJU;IJUÍ;IJUÍ;RS;BRASIL;-;-28,36861111;-53,84638888
SSIQ;ITQ;ITAQUI;ITAQUI;RS;BRASIL;-;-29,17194444;-56,53833333
SSJA;JCB;SANTA TEREZINHA;JOAÇABA;SC;BRASIL;-;-27,17277777;-51,55166666
SSKM;CBW;GERALDO GUIAS DE AQUINO;CAMPO MOURÃO;PR;BRASIL;-;-24,0025;-52,35694444
SSKS;QDB;CACHOEIRA DO SUL;CACHOEIRA DO SUL;RS;BRASIL;-;-30,00222222;-52,94027777
SSKW;OAL;CACOAL;CACOAL;RO;BRASIL;3C;-11,49555555;-61,45083333
SSKZ;QRE;CARAZINHO;CARAZINHO;RS;BRASIL;-;-28,32138888;-52,81555555
SSLN;LOI;HELMUTH BAUNGARTEM;LONTRAS;SC;BRASIL;-;-27,15972222;-49,54277777
SSLT;ALQ;GAUDÊNCIO MACHADO RAMOS;ALEGRETE;RS;BRASIL;-;-29,8125;-55,89333333
SSNG;QGF;MONTENEGRO;MONTENEGRO;RS;BRASIL;-;-29,71972222;-51,48888888
SSOE;SQX;HÉLIO WASUM;SÃO MIGUEL DO OESTE;SC;BRASIL;-;-26,78111111;-53,50333333
SSOG;APX;ARAPONGAS;ARAPONGAS;PR;BRASIL;-;-23,35583333;-51,49083333
SSOL;VRZ;LAVRAS;LAVRAS;MG;BRASIL;-;-21,24388888;-44,96944444
SSOU;AIR;ARIPUANÃ;ARIPUANÃ;MT;BRASIL;1A;-10,1874;-59,4578
SSPG;PNG;SANTOS DUMONT;PARANAGUÁ;PR;BRASIL;-;-25,54055555;-48,53111111
SSPI;PVI;EDU CHAVES;PARANAVAÍ;PR;BRASIL;-;-23,09;-52,48861111
SSPN;PBB;PARANAÍBA;PARANAÍBA;MS;BRASIL;-;-19,65111111;-51,19944444
SSRS;BRB;BARREIRINHAS;BARREIRINHAS;MA;BRASIL;-;-2,756666666;-42,80444444
SSRU;SQY;SÃO LOURENÇO DO SUL;SÃO LOURENÇO DO SUL;RS;BRASIL;-;-31,38472222;-52,0325
SSRZ;WQ*;ROSÁRIO DO SUL;ROSÁRIO DO SUL;RS;BRASIL;-;-30,2775;-54,92527777
SSSB;JBS;SÃO BORJA;SÃO BORJA;RS;BRASIL;-;-28,65472222;-56,03472222
SSSC;CSU;SANTA CRUZ DO SUL;SANTA CRUZ DO SUL;RS;BRASIL;-;-29,68416666;-52,41222222
SSTE;TSQ;TORRES;TORRES;RS;BRASIL;-;-29,415;-49,81
SSUM;UMU;ORLANDO DE CARVALHO;UMUARAMA;PR;BRASIL;-;-23,79916666;-53,31388888
SSUV;UVI;JOSÉ CLETO;UNIÃO DA VITÓRIA;PR;BRASIL;-;-26,23166666;-51,06888888
SSVC;QVN;VACARIA;VACARIA;MS;BRASIL;-;4,9955555555;19,890833333
SSVI;VIA;ÂNGELO PONZONI;VIDEIRA;SC;BRASIL;-;-26,99972222;-51,14138888
SSVL;TEC;TELÊMACO BORBA (SBTL*);TELÊMACO BORBA;PR;BRASIL;-;-24,31638888;-50,65222222
SSVP;CTQ;SANTA VITÓRIA DO PALMAR;SANTA VITÓRIA DO PALMAR;ES;BRASIL;-;2,9658333333;17,562222222
SSXX;AXE;MUNICIPAL JOÃO WINCKLER;XANXERÊ;SC;BRASIL;-;-26,87555555;-52,37305555
SSYA;AAG;AVELINO VIEIRA;ARAPOTI;PR;BRASIL;N/I;-24,104166667;-49,790555556
SSZR;SRA;SANTA ROSA;SANTA ROSA;RS;BRASIL;-;-27,90888888;-54,52222222
SUAG;ATI;ARTIGAS INTERNATIONAL AIRPORT;ARTIGAS, ARTIGAS;;URUGUAI;N/I;-30,400833;-56,507778
SUCA;CYR;LAGUNA DE LOS PATOS INTERNATIONAL AIRPORT;COLONIA DEL SACRAMENTO, COLONIA;;URUGUAI;N/I;-34,456389;-57,770556
SUDU;DZO;SANTA BERNARDINA INTERNATIONAL AIRPORT;DURAZNO, DURAZNO;;URUGUAI;N/I;-33,358611;-56,499167
SULS;PDP;C/C CARLOS A. CURBELO DE LAGUNA DEL SAUCE INTERNATIONAL AIRPORT;MALDONADO/PUNTA DEL ESTE, MALDONADO;;URUGUAI;N/I;-34,855;-55,094167
SUMO;MLZ;CERRO LARGO INTERNATIONAL AIRPORT;MELO, CERRO LARGO;;URUGUAI;N/I;-32,3425;-54,221667
SUMU;MVD;CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT;MONTEVIDEO, MONTEVIDEO;;URUGUAI;N/I;-34,838333;-56,030833
SUPU;PDU;TYDEO LARRE BORGES INTERNATIONAL AIRPORT;PAYSANDÚ, PAYSANDÚ;;URUGUAI;N/I;-32,363333;-58,062222
SURV;RVY;PTE. GRAL. ÓSCAR D. GESTIDO INTERNATIONAL AIRPORT;RIVERA, RIVERA;;URUGUAI;N/I;-30,974444;-55,476111
SUSO;STY;NUEVA HESPÉRIDES INTERNATIONAL AIRPORT;SALTO, SALTO;;URUGUAI;N/I;-31,438611;-57,985278
SUTB;TAW;TACUAREMBÓ AIRPORT;TACUAREMBÓ, TACUAREMBÓ;;URUGUAI;N/I;-31,749167;-55,925833
SUTR;TYT;TREINTA Y TRES AIRPORT;TREINTA Y TRES, TREINTA Y TRES;;URUGUAI;N/I;-33,195;-54,347222
SUVO;VCH;VICHADERO AIRPORT;VICHADERO, RIVERA;;URUGUAI;N/I;-31,739167;-54,587778
SVAC;AGV;OSWALDO GUEVARA MUJICA AIRPORT;ACARIGUA;;VENEZUELA;N/I;9,553333;-69,2375
SVAN;AAO;ANACO AIRPORT;ANACO, ANZOÁTEGUI;;VENEZUELA;N/I;9,4303;-64,4708
SVBC;BLA;GENERÁL JOSÉ ANTONIO ANZOÁTEGUI INTERNATIONAL AIRPORT;BARCELONA, ANZOÁTEGUI;;VENEZUELA;N/I;10,107222;-64,689167
SVBI;BNS;BARINAS AIRPORT;BARINAS, BARINAS STATE;;VENEZUELA;N/I;8,619444;-70,220833
SVBM;BRM;JACINTO LARA INTERNATIONAL AIRPORT;BARQUISIMETO;;VENEZUELA;N/I;10,042778;-69,358611
SVBS;MYC;MARISCAL SUCRE AIRPORT (VENEZUELA);MARACAY, ARAGUA;;VENEZUELA;N/I;10,24998;-67,64942
SVCB;CBL;TOMÁS DE HERES AIRPORT;CIUDAD BOLÍVAR, BOLÍVAR;;VENEZUELA;N/I;8,122222;-63,536111
SVCL;CLZ;CALABOZO AIRPORT;CALABOZO, GUÁRICO;;VENEZUELA;N/I;8,924444;-67,416944
SVCN;CAJ;CANAIMA AIRPORT;CANAIMA;;VENEZUELA;N/I;6,231944;-62,854167
SVCP;CUP;GENERAL JOSÉ FRANCISCO BERMÚDEZ AIRPORT;CARUPANO;;VENEZUELA;N/I;10,66;-63,261667
SVCR;CZE;JOSÉ LEONARDO CHIRINOS AIRPORT;CORO, FALCÓN;;VENEZUELA;N/I;11,415;-69,681667
SVCU;CUM;ANTONIO JOSÉ DE SUCRE AIRPORT;CUMANÁ, SUCRE;;VENEZUELA;N/I;10,450278;-64,130556
SVED;EOR;EL DORADO AIRPORT (VENEZUELA);EL DORADO;;VENEZUELA;N/I;6,716667;-61,616667
SVEZ;EOZ;ELORZA AIRPORT;ELORZA, APURE;;VENEZUELA;N/I;7,059722;-69,496667
SVGD;GDO;GUASDUALITO AIRPORT;GUASDUALITO, APURE;;VENEZUELA;N/I;7,211111;-70,756389
SVGI;GUI;GUIRIA AIRPORT;GUIRIA, SUCRE;;VENEZUELA;N/I;10,573889;-62,3125
SVGU;GUQ;GUANARE AIRPORT;GUANARE, PORTUGUESA;;VENEZUELA;N/I;9,027778;-69,754444
SVJC;LSP;JOSEFA CAMEJO INTERNATIONAL AIRPORT;PARAGUANÁ, FALCÓN;;VENEZUELA;N/I;11,780833;-70,151389
SVLF;LFR;LA FRIA AIRPORT;LA FRIA, TÁCHIRA;;VENEZUELA;N/I;8,239167;-72,271111
SVMC;MAR;LA CHINITA INTERNATIONAL AIRPORT;MARACAIBO, ZULIA;;VENEZUELA;N/I;10,558056;-71,727778
SVMD;MRD;ALBERTO CARNEVALLI AIRPORT;MÉRIDA, MÉRIDA;;VENEZUELA;N/I;8,582222;-71,161111
SVMG;PMV;DEL CARIBE INTERNATIONAL AIRPORT (GEN. SANTIAGO MARINO AIRPORT);PORLAMAR, ISLA MARGARITA;;VENEZUELA;N/I;10,913056;-63,9675
SVMI;CCS;SIMÓN BOLÍVAR INTERNATIONAL AIRPORT (MAIQUETIA INTERNATIONAL AIRPORT);MAIQUETÍA, VARGAS (NEAR CARACAS);;VENEZUELA;N/I;10,603056;-66,990556
SVMT;MUN;MATURÍN AIRPORT;MATURÍN, MONAGAS;;VENEZUELA;N/I;9,749167;-63,153333
SVON;CBS;ORO NEGRO AIRPORT;CABIMAS, ZULIA;;VENEZUELA;N/I;10,33;-71,3225
SVPA;PYH;CACIQUE ARAMARE AIRPORT;PUERTO AYACUCHO, AMAZONAS;;VENEZUELA;N/I;5,62;-67,606111
SVPR;PZO;MANUEL CARLOS PIAR GUAYANA AIRPORT;CIUDAD GUAYANA, BOLÍVAR;;VENEZUELA;N/I;8,288611;-62,760278
